id,claim,type,verifier,status
C01,Supervised ML + Bayesian optimization trained on 100+ quantum diamond samples steers NV growth conditions against a magnetometry figure of merit — preprint; publication status tracked.,CITE,arXiv 2510.22121 (2025),OPEN-CAVEATED
C02,"A 60-study meta-analysis (170 datasets, 1,692 entries) trains ML predictors of diamond color-center synthesis yield across NV/SiV/GeV/SnV.",CITE,"Adv. Intelligent Systems (2026), DOI 10.1002/aisy.202501082",CITED
C03,"Individual NV centers are laser-written deterministically with near-unity yield, online fluorescence feedback triggering the stop on formation.",CITE,"Chen et al., Optica 6, 662-667 (2019)",CITED
C04,Telecom-band quantum emitters in silicon are programmably written AND erased with fs-laser pulses plus hydrogen activation/passivation.,CITE,"Jhuria et al., Nat. Commun. 15, 4497 (2024), DOI 10.1038/s41467-024-48714-2",CITED
C05,A fault-tolerant logical qubit was operated in a diamond NV register at 4 kelvin — no dilution refrigerator.,CITE,"Abobeih et al., Nature 606, 884-889 (2022), DOI 10.1038/s41586-022-04819-6",CITED
C06,No public system yet closes an autonomous loop on defect-qubit metrics; reliable defect generation remains hard to predict and control by the field's own statement.,CITE,arXiv 2501.17240 (2025); author survey of the public record as of 2026-07,OPEN-CAVEATED
C07,"Venue bet: conditional on the Chapter 2 loop bet resolving true, 60% the first venue is defect/materials qubits.",FORECAST,the dated conditional signpost itself,OPEN
C08,"55% that a published, independently verifiable autonomous loop iterates a defect-qubit figure of merit over 3+ unattended cycles by 2030-12-31.",FORECAST,the dated signpost itself,OPEN
C09,"35% that a loop-discovered materials improvement is adopted, credited, on a flagship superconducting chip by 2032-12-31.",FORECAST,the dated signpost itself,OPEN
C10,"96 logical qubits from 448 neutral atoms via [[16,6,4]] codes with below-threshold suppression; first all-logical magic-state distillation.",CITE,"Nature (2026), DOI 10.1038/s41586-025-09848-5; Nature (2025), DOI 10.1038/s41586-025-09367-3",CITED
C11,"94 error-detected / 48 error-corrected logical qubits from 98 ions (concatenated iceberg codes) and a 99.99% two-qubit gate on an R&D prototype — company-authored preprints/releases, peer review pending.",CITE,arXiv preprint (Mar 2026); arXiv 2511.05465; IonQ technical release (Oct 2025),OPEN-CAVEATED
C12,"Magne (50 logical / 1,225 atoms) is vendor-targeted operational ~start-2027 and anchored by QuNorth's 80M-euro acquisition.",CITE,quantumcomputingreport.com (2026); spectrum.ieee.org (2026); EIFO/NNF announcements,CITED
C13,"IQMP broke ground 2025-09-30: PsiQuantum anchor, DARPA proving ground, shared cryoplant, ~$700M state funding, $1.2B federal LOIs (May 2026) to four tenants; total construction estimated ~$9B.",CITE,epa.illinois.gov IQMP record; capitolnewsillinois.com (2026); Commerce Dept. (May 2026); Bloomberg (Apr 2025),CITED
C14,NQI authorization lapsed 2023-09-30; S.3597 cleared Senate Commerce unanimously 2026-04-14; H.R.8462 reported out of House SST 2026-04-29; both await floor votes.,CITE,"congress.gov (S.3597, H.R.8462); aip.org FYI tracker",CITED
C15,55% that NQI reauthorization is enacted by 2027-01-03 (end of the 119th Congress); 75% by 2027-12-31.,FORECAST,the dated signpost itself,OPEN
C16,35% that loop infrastructure is funded as a named deliverable at IQMP or an equivalent allied co-located site by 2028-12-31.,FORECAST,the dated signpost itself,OPEN
C17,"Zuchongzhi 3.0: 105-qubit superconducting processor, random-circuit sampling peer-published; the line's error-correction claims are program-reported.",CITE,"Phys. Rev. Lett. 134, 090601 (2025), DOI 10.1103/PhysRevLett.134.090601; arXiv 2412.11924",CITED
C18,"The 24/7 Xiao Lai / ChemAgents robotic-chemist lineage runs at USTC / Hefei National Laboratory, co-located with fabrication and computing centers.",CITE,"J. Am. Chem. Soc. 147, 12534-12545 (2025), DOI 10.1021/jacs.4c17738",CITED
C19,"China fielded 10+ domestic dilution-fridge makers within ~14 months of the 2024 controls, production near 10 mK — trade-press and interested-party figures.",CITE,rusi.org (2025); Rev. Sci. Instrum. (Dec 2025); trade press (2026),OPEN-CAVEATED
C20,"P1 (prior 35%) resolved FALSE: the Day-1 code-capacity discovery does not survive circuit-level refereeing -- model-level, it falls about five orders of magnitude below budget-matched repetition at the GM high-bias operating point.",NUM,expedition/ evaluator + s3_severity.py; verify_numbers.py Ch4 @ e7d9dfe,OPEN-CAVEATED
C21,"P2 (prior 55%) resolved TRUE: the searched code rep(3) x [8,4,4] = [24,4,12] beats strict budget-matched repetition at the GM operating point -- matched-depth same-instrument ratio 0.255, 95% CI [0.172, 0.337]; survived fresh-seed, alt-decoder, and doubled-depth re-checks. Model-level, one operating point, not a hardware demonstration.",NUM,expedition/ gm_css.py + s2/s3 scripts; verify_numbers.py Ch4 @ e7d9dfe,OPEN-CAVEATED
C22,"P3 (prior 40%) resolved TRUE: the winning code is the AI/LLM-layer proposal, refereed by its own mechanical verifier; the win exists only because the verifier killed the first proposed family (structural d<=4 ceiling) before any simulation.",NOVEL,PREREG_search1.md resolution log @ e7d9dfe,OPEN-CAVEATED
C23,"P4 (prior 20%) resolved FALSE: the winning family's overhead grows with distance; the published cellular-automaton frontier overhead (about 7.6 qubits/logical at 1e-8, Ruiz et al.) is unmatched at weight-4 checks.",NUM,expedition/ s3_severity.py; verify_numbers.py Ch4 @ e7d9dfe,OPEN-CAVEATED
C24,"Central measured lesson: codes must match their bias regime -- the winner inverts to 12x/63x worse than repetition at 10x-dirtier gates, and at today's Ocelot bias both architectures drown in the unprotected ~2-5%/cycle bit-flip floor. Model-level.",DERIV,expedition/ s3_severity.py severity map; verify_numbers.py Ch4 @ e7d9dfe,OPEN-CAVEATED
C25,"The circuit-level evaluator is Ocelot-anchored (three independently measured closures with no fitting) and corridor-validated against an independent published simulation fit (12/12 same-order, ~25% at the operating point); disclosed 1.2-2x optimistic in absolute terms, cancelled in same-instrument ratios.",DERIV,DERIV_noise_v1.md + gm_corridor.py; verify_numbers.py Ch4 @ e7d9dfe,VERIFIED
C26,"The winning code, noise model, decoder configuration (BP-OSD, min-sum, 30 iters, OSD order 4), and runnable scripts are committed (expedition/, requirements-canonical.txt) with the Ocelot data DOI 10.5281/zenodo.14257632 -- the chapter's model-level result is reproducible from the repository.",CITE,expedition/ scripts + Section 06; Ocelot data DOI 10.5281/zenodo.14257632,VERIFIED
C27,30% that a low-weight cat outer code matching the frontier cellular-automaton overhead is published by 2027-12-31.,FORECAST,the dated signpost itself,OPEN
C28,55% that an external group runs an AI code search under honest circuit-level (finite-bias) noise by 2027-06-30.,FORECAST,the dated signpost itself,OPEN
C29,25% that a multi-logical outer cat code is demonstrated on real hardware by 2028-12-31.,FORECAST,the dated signpost itself,OPEN
